experience,skills,education,label,experience_years,skills_encoded,education_encoded,matched_for_job
8 years,"sometimes,season,culture,knowledge,traditional,today",Bachelor,Senior,8,6,3,Senior
1 years,"become,score,mother",PhD,Junior,1,3,5,Junior
5 years,"standard,arm,try,from",Master,Senior,5,4,4,Senior
3 years,"information,seven,movement,physical",Master,Senior,3,4,4,Senior
10 years,"item,great,face,despite",Bachelor,Senior,10,4,3,Senior
9 years,"quickly,ahead,west,have",PhD,Senior,9,4,5,Senior
6 years,"subject,near,court,hope,push",Bachelor,Senior,6,5,3,Senior
7 years,"white,red,red",Bachelor,Senior,7,3,3,Senior
8 years,"four,case,life,able,partner,democratic,say",Master,Senior,8,7,4,Senior
4 years,"course,talk,system",Master,Senior,4,3,4,Senior
4 years,"reality,every,green",Bachelor,Senior,4,3,3,Senior
3 years,"by,event,compare,information,door",Bachelor,Senior,3,5,3,Senior
4 years,"international,environment,anything,behind,writer",Master,Senior,4,5,4,Senior
7 years,"space,least,own,free,power,prove,cultural",Master,Senior,7,7,4,Senior
7 years,"else,ready,almost,serve,country,wear",Master,Senior,7,6,4,Senior
2 years,"always,for,range,could",PhD,Junior,2,4,5,Junior
9 years,"all,age,follow,also,region",PhD,Senior,9,5,5,Senior
6 years,"learn,natural,bring,building",Bachelor,Senior,6,4,3,Senior
9 years,"these,throw,west",PhD,Senior,9,3,5,Senior
6 years,"mouth,according,guess,away,red,speech",Master,Senior,6,6,4,Senior
9 years,"either,also,game,thing,other,pick",Master,Senior,9,6,4,Senior
10 years,"explain,million,quality,he,point,opportunity",Bachelor,Senior,10,6,3,Senior
3 years,"him,floor,day",PhD,Senior,3,3,5,Senior
10 years,"serve,actually,move,model,bag,fear,leave",PhD,Senior,10,7,5,Senior
5 years,"determine,bag,executive,customer",Bachelor,Senior,5,4,3,Senior
